ID,Meno,Priezvisko,Rodne_cislo,Miesto_narodenia,Stav_uctu,Stav
4577,Filip,Vesely,920814/4542,Trencin,112920,slobodny
4578,Petra,Markova,805915/4229,Senec,424105,vydaty
4579,Marek,Rusnak,961215/1747,Poprad,920350,slobodny
4580,Petra,Rusnakova,745414/9079,Zilina,144163,vydaty
4581,Marek,Marko,830307/9942,Nitra,831858,slobodny
4582,Petra,Markova,745414/8844,Bratislava,183041,vydaty
4583,Juraj,Rusnak,671113/3596,Kosice,486462,slobodny
4584,Petra,Horvathova,866116/2869,Poprad,557198,vydaty
4585,Tomas,Horvath,870822/8355,Trnava,638855,slobodny
4586,Petra,Vesela,926222/7902,Trnava,500829,vydaty
4587,Ondrej,Dvorak,790826/2946,Snina,349091,slobodny
4588,Petra,Predajnianska,695804/9394,Trencin,765908,vydaty
4589,Tomas,Marko,920627/4510,Svidnik,115217,slobodny
4590,Petra,Vesela,995905/5562,Martin,455133,vydaty
4591,Richard,Fabian,731027/1055,Zvolen,34906,slobodny
4592,Simona,Urbanova,536028/9320,Bratislava,925341,vydaty
4593,Peter,Kubik,761016/3322,Svidnik,434418,slobodny
4594,Simona,Novakova,705511/3161,Svidnik,843217,vydaty
4595,Radoslav,Urban,660107/3656,Kosice,755335,slobodny
4596,Katerina,Cerna,566111/1221,Trencin,133400,vydaty
4597,Juraj,Fabian,920818/3135,Nitra,92489,slobodny
4598,Simona,Horvathova,565824/1898,Trnava,930005,vydaty
4599,Martin,Urban,670308/2875,Trencin,667505,slobodny
4600,Lucia,Kubikova,986021/2274,Levice,941085,vydaty
4601,Richard,Simek,900303/3737,Presov,822926,slobodny
4602,Simona,Vesela,885113/2814,Tvrdosin,136119,vydaty
4603,Marek,Varga,580122/9958,Kosice,924131,slobodny
4604,Petra,Kucerova,975614/2656,Bardejov,339842,vydaty
4605,Tomas,Muska,841108/7201,Trnava,905292,slobodny
4606,Ivana,Fabianova,535218/9183,Tvrdosin,331570,vydaty
4607,Marek,Kubik,550506/2571,Zvolen,313555,slobodny
4608,Simona,Novakova,795811/8008,Poprad,431327,vydaty
4609,Filip,Varga,860921/5482,Tvrdosin,877434,slobodny
4610,Ivana,Simekova,835227/4191,Snina,883776,vydaty
4611,Radoslav,Simek,881021/9632,Komarno,485815,slobodny
4612,Zuzana,Novakova,916127/1183,Humenne,908930,vydaty
4613,Ondrej,Bednar,600410/6451,Poprad,240265,slobodny
4614,Zuzana,Vesela,885628/9530,Bratislava,158822,vydaty
4615,Radoslav,Varga,510922/7099,Levice,55412,slobodny
4616,Veronika,Bednarova,545413/6877,Komarno,416796,vydaty
4617,Martin,Vesely,520128/1212,Snina,29666,slobodny
4618,Veronika,Novakova,886227/9901,Svidnik,75540,vydaty
4619,Juraj,Bednar,920125/5930,Zvolen,224357,slobodny
4620,Barbora,Fabianova,956215/7815,Trencin,701749,vydaty
4621,Tomas,Kucera,741217/3268,Kosice,136238,slobodny
4622,Jana,Kucerova,765515/8319,Humenne,930040,vydaty
4623,Jan,Cerny,601009/3465,Trencin,773812,slobodny
4624,Veronika,Novakova,686113/5272,Humenne,106896,vydaty
4625,Tomas,Varga,641209/3853,Humenne,19933,slobodny
4626,Ivana,Muskova,866025/2802,Bardejov,431462,vydaty
4627,Jan,Kucera,631102/3230,Trencin,517127,slobodny
4628,Katerina,Predajnianska,675508/8638,Bratislava,502819,vydaty
4629,Jan,Cerny,670925/1119,Komarno,123180,slobodny
4630,Ivana,Fabianova,805223/4574,Nitra,361271,vydaty
4631,Tomas,Kubik,541013/5497,Kosice,406741,slobodny
4632,Simona,Vargova,885826/9346,Nitra,188089,vydaty
4633,Juraj,Kucera,600316/5605,Bratislava,111479,slobodny
4634,Zuzana,Predajnianska,766016/8643,Bratislava,82253,vydaty
4635,Jan,Fabian,750312/7299,Svidnik,121548,slobodny
4636,Petra,Cerna,896204/6936,Kosice,21645,vydaty
4637,Filip,Cerny,530513/2944,Bratislava,363874,slobodny
4638,Lucia,Vesela,905602/7475,Kosice,780025,vydaty
4639,Radoslav,Kucera,991120/5775,Trnava,917868,slobodny
4640,Petra,Muskova,745508/3457,Tvrdosin,472175,vydaty
4641,Tomas,Simek,550626/1151,Trnava,683549,slobodny
4642,Simona,Muskova,676219/2356,Senec,39014,vydaty
4643,Marek,Rusnak,820703/8491,Bardejov,549058,slobodny
4644,Ivana,Cerna,685210/1899,Komarno,411594,vydaty
4645,Marek,Dvorak,940323/2449,Bratislava,150109,slobodny
4646,Ivana,Markova,565619/4765,Poprad,431586,vydaty
4647,Filip,Rusnak,991205/8321,Bratislava,54536,slobodny
4648,Barbora,Vesela,705327/5297,Nitra,809094,vydaty
4649,Martin,Predajniansky,680110/6286,Trencin,844891,slobodny
4650,Jana,Vesela,575511/6904,Zilina,527155,vydaty
4651,Marek,Muska,901225/2842,Tvrdosin,310285,slobodny
4652,Katerina,Novakova,555526/9576,Poprad,145037,vydaty
4653,Tomas,Urban,910127/3022,Kosice,670230,slobodny
4654,Zuzana,Kubikova,656113/2817,Nitra,311075,vydaty
4655,Peter,Predajniansky,561109/5373,Trencin,739925,slobodny
4656,Jana,Simekova,735617/3127,Senec,855389,vydaty
4657,Filip,Rusnak,540108/4596,Nitra,31079,slobodny
4658,Katerina,Novakova,995623/3510,Komarno,28217,vydaty
4659,Radoslav,Marko,560604/8526,Komarno,313042,slobodny
4660,Zuzana,Novakova,755702/8703,Tvrdosin,779723,vydaty
4661,Ondrej,Novak,790807/8328,Humenne,782818,slobodny
4662,Zuzana,Novakova,625914/4526,Trencin,659527,vydaty
4663,Juraj,Novak,950203/9106,Trnava,199627,slobodny
4664,Lucia,Urbanova,815219/6144,Senec,76540,vydaty
4665,Filip,Kubik,740312/1180,Snina,188736,slobodny
4666,Zuzana,Novakova,986109/9450,Kosice,890073,vydaty
4667,Martin,Predajniansky,580602/6418,Humenne,551632,slobodny
4668,Sandra,Vesela,525816/4300,Kosice,526881,vydaty
4669,Filip,Bednar,651219/2040,Presov,705231,slobodny
4670,Barbora,Simekova,965124/2730,Nitra,247330,vydaty
4671,Peter,Rusnak,540224/4684,Snina,621327,slobodny
4672,Katerina,Markova,575713/8704,Trnava,563163,vydaty
4673,Martin,Kucera,730727/8500,Martin,189482,slobodny
4674,Lucia,Muskova,645321/6638,Kosice,375813,vydaty
4675,Ondrej,Vesely,680820/2504,Kosice,755503,slobodny
4676,Katerina,Fabianova,875703/7859,Bratislava,153747,vydaty
4677,Radoslav,Urban,540807/6570,Nitra,706514,slobodny
4678,Zuzana,Simekova,765103/8322,Trencin,869407,vydaty
4679,Marek,Fabian,730614/2319,Presov,28152,slobodny
4680,Simona,Muskova,986015/2498,Kosice,179123,vydaty
4681,Ondrej,Kubik,860221/4072,Tvrdosin,326579,slobodny
4682,Katerina,Urbanova,965907/7732,Zvolen,330929,vydaty
4683,Richard,Vesely,570311/8411,Nitra,961191,slobodny
4684,Lucia,Predajnianska,675207/1019,Bardejov,266364,vydaty
4685,Marek,Cerny,560523/8350,Senec,16489,slobodny
4686,Simona,Rusnakova,996027/3025,Poprad,563531,vydaty
4687,Richard,Cerny,690816/3093,Zvolen,52448,slobodny
4688,Barbora,Kucerova,785427/3403,Trencin,384528,vydaty
4689,Marek,Kucera,670515/4106,Snina,31590,slobodny
4690,Katerina,Markova,835405/2204,Trencin,624436,vydaty
4691,Jan,Cerny,631012/7451,Komarno,129885,slobodny
4692,Petra,Dvorakova,925104/3893,Zvolen,572316,vydaty
4693,Juraj,Fabian,990205/2105,Tvrdosin,330396,slobodny
4694,Petra,Horvathova,545207/4670,Humenne,678660,vydaty
4695,Peter,Vesely,550802/4169,Trencin,107780,slobodny
4696,Zuzana,Dvorakova,996220/5166,Zvolen,358286,vydaty
4697,Juraj,Fabian,550724/9609,Humenne,59254,slobodny
4698,Ivana,Urbanova,995428/8867,Levice,588574,vydaty
4699,Marek,Cerny,930401/7415,Levice,370141,slobodny
4700,Ivana,Markova,725607/1320,Zvolen,115068,vydaty
4701,Juraj,Horvath,610721/1801,Levice,331105,slobodny
4702,Barbora,Simekova,725215/4251,Svidnik,354349,vydaty
4703,Richard,Bednar,940911/2501,Poprad,520441,slobodny
4704,Barbora,Kucerova,885619/1743,Tvrdosin,343803,vydaty
4705,Radoslav,Dvorak,730423/3354,Humenne,892605,slobodny
4706,Jana,Dvorakova,716118/2315,Kosice,514313,vydaty
4707,Filip,Marko,930525/1359,Tvrdosin,419111,slobodny
4708,Barbora,Bednarova,925410/4867,Komarno,925264,vydaty
4709,Juraj,Predajniansky,910824/6885,Poprad,869798,slobodny
4710,Zuzana,Fabianova,565916/4583,Presov,858658,vydaty
4711,Tomas,Simek,670902/9001,Bardejov,253116,slobodny
4712,Lucia,Cerna,786026/3387,Levice,483158,vydaty
4713,Radoslav,Bednar,721024/8810,Snina,274442,slobodny
4714,Lucia,Muskova,555828/8884,Kosice,926718,vydaty
4715,Marek,Rusnak,750425/3517,Kosice,654893,slobodny
4716,Ivana,Kubikova,915218/9359,Levice,474011,vydaty
4717,Ondrej,Rusnak,911115/3665,Zilina,636465,slobodny
4718,Lucia,Novakova,835619/3090,Kosice,579982,vydaty
4719,Filip,Novak,930220/4666,Komarno,912165,slobodny
4720,Katerina,Vesela,765408/7321,Trencin,30752,vydaty
4721,Martin,Varga,840216/2746,Trnava,556061,slobodny
4722,Zuzana,Bednarova,636111/3333,Trnava,21202,vydaty
4723,Jan,Kucera,531201/4868,Humenne,931160,slobodny
4724,Barbora,Predajnianska,875716/2709,Nitra,936148,vydaty
4725,Filip,Predajniansky,920401/1780,Levice,255522,slobodny
4726,Veronika,Vesela,865307/6111,Poprad,799685,vydaty
4727,Filip,Kucera,780428/2132,Humenne,885915,slobodny
4728,Simona,Predajnianska,825112/5512,Zilina,936872,vydaty
4729,Richard,Bednar,910207/5210,Bratislava,487231,slobodny
4730,Barbora,Urbanova,616004/8609,Levice,157116,vydaty
4731,Juraj,Kucera,530409/8007,Svidnik,813606,slobodny
4732,Zuzana,Urbanova,565809/1134,Zvolen,29956,vydaty
4733,Marek,Muska,980201/5552,Nitra,177188,slobodny
4734,Sandra,Kucerova,935906/9198,Bardejov,390761,vydaty
4735,Tomas,Horvath,630220/2910,Svidnik,573160,slobodny
4736,Jana,Kucerova,536202/2842,Svidnik,292996,vydaty
4737,Radoslav,Fabian,530802/3199,Nitra,955453,slobodny
4738,Veronika,Dvorakova,626111/4445,Presov,985702,vydaty
4739,Radoslav,Kucera,550227/7314,Presov,561447,slobodny
4740,Zuzana,Dvorakova,935819/2151,Svidnik,783160,vydaty
4741,Tomas,Kucera,950117/5011,Trnava,999996,slobodny
4742,Simona,Simekova,906023/3273,Bratislava,187732,vydaty
4743,Peter,Kubik,730927/5600,Bratislava,14002,slobodny
4744,Barbora,Vargova,755915/9865,Kosice,66705,vydaty
4745,Richard,Fabian,880118/7495,Zvolen,981778,slobodny
4746,Petra,Horvathova,675504/2474,Senec,694263,vydaty
4747,Martin,Bednar,870714/6987,Snina,229413,slobodny
4748,Sandra,Simekova,586113/6706,Humenne,405270,vydaty
4749,Martin,Muska,551113/6164,Kosice,335920,slobodny
4750,Barbora,Cerna,995111/6571,Svidnik,965827,vydaty
4751,Juraj,Rusnak,600701/7427,Trencin,587521,slobodny
4752,Barbora,Vesela,646213/4245,Martin,843215,vydaty
4753,Jan,Kucera,540624/6533,Humenne,795827,slobodny
4754,Zuzana,Novakova,826218/7417,Kosice,11938,vydaty
4755,Ondrej,Cerny,820212/4437,Zvolen,729961,slobodny
4756,Simona,Bednarova,705614/8796,Trencin,936321,vydaty
4757,Jan,Varga,840413/2945,Tvrdosin,772152,slobodny
4758,Simona,Cerna,575320/2261,Senec,315656,vydaty
4759,Tomas,Rusnak,810606/7337,Zvolen,413205,slobodny
4760,Simona,Horvathova,805903/1709,Poprad,582500,vydaty
4761,Radoslav,Cerny,610621/2547,Levice,338147,slobodny
4762,Sandra,Cerna,765211/2424,Senec,787354,vydaty
4763,Tomas,Marko,701028/4633,Zilina,150571,slobodny
4764,Katerina,Bednarova,836218/9447,Tvrdosin,253772,vydaty
4765,Martin,Fabian,900803/4439,Svidnik,908395,slobodny
4766,Katerina,Kucerova,975111/1991,Snina,128838,vydaty
4767,Jan,Novak,740817/1425,Humenne,154667,slobodny
4768,Ivana,Dvorakova,545624/8364,Senec,383547,vydaty
4769,Radoslav,Kubik,670608/9732,Trencin,841203,slobodny
4770,Katerina,Kubikova,525918/1601,Svidnik,891662,vydaty
4771,Juraj,Bednar,620421/5784,Levice,626664,slobodny
4772,Petra,Fabianova,845223/1535,Snina,261823,vydaty
4773,Marek,Urban,851121/9457,Trencin,837505,slobodny
4774,Jana,Cerna,515320/7957,Zvolen,882879,vydaty
4775,Ondrej,Horvath,630913/3076,Snina,564196,slobodny
4776,Jana,Muskova,576017/8068,Poprad,158767,vydaty
4777,Tomas,Horvath,831024/7142,Svidnik,224084,slobodny
4778,Simona,Markova,995722/2263,Nitra,416805,vydaty
4779,Tomas,Kucera,540621/4815,Zvolen,963172,slobodny
4780,Veronika,Rusnakova,755605/2580,Bratislava,183985,vydaty
4781,Martin,Dvorak,791222/9596,Tvrdosin,411927,slobodny
4782,Ivana,Predajnianska,575309/7488,Senec,690671,vydaty
4783,Filip,Urban,710212/6955,Kosice,950487,slobodny
4784,Barbora,Cerna,905316/2268,Senec,855680,vydaty
4785,Ondrej,Muska,850809/6842,Senec,291733,slobodny
4786,Jana,Vesela,675410/9771,Zilina,562665,vydaty
4787,Martin,Novak,850604/2342,Trnava,718922,slobodny
4788,Lucia,Urbanova,655811/9950,Levice,76510,vydaty
4789,Radoslav,Marko,520618/1575,Kosice,465271,slobodny
4790,Ivana,Cerna,856101/1405,Zvolen,666512,vydaty
4791,Radoslav,Horvath,980428/5721,Presov,168028,slobodny
4792,Jana,Fabianova,636222/1335,Nitra,491633,vydaty
4793,Juraj,Varga,970709/2027,Nitra,443089,slobodny
4794,Lucia,Vargova,775806/9106,Humenne,765010,vydaty
4795,Ondrej,Kucera,950528/3565,Komarno,791354,slobodny
4796,Sandra,Novakova,516220/3167,Svidnik,895574,vydaty
4797,Richard,Cerny,971121/1677,Komarno,548942,slobodny
4798,Veronika,Horvathova,666213/5050,Zilina,465557,vydaty
4799,Juraj,Kucera,990816/8613,Bratislava,678263,slobodny
4800,Zuzana,Rusnakova,855418/8232,Levice,908267,vydaty
4801,Filip,Kubik,661211/9443,Kosice,639794,slobodny
4802,Sandra,Kubikova,585111/3676,Svidnik,584829,vydaty
4803,Jan,Fabian,911002/2586,Trnava,479692,slobodny
4804,Jana,Bednarova,875922/4091,Senec,827388,vydaty
4805,Martin,Novak,690927/4663,Svidnik,242421,slobodny
4806,Katerina,Dvorakova,546106/7531,Tvrdosin,690049,vydaty
4807,Juraj,Bednar,690616/4159,Zilina,301645,slobodny
4808,Petra,Horvathova,775527/9605,Trnava,657550,vydaty
4809,Tomas,Dvorak,520107/4671,Svidnik,813527,slobodny
4810,Petra,Kubikova,565303/6380,Humenne,192276,vydaty
4811,Tomas,Varga,971224/2407,Trnava,97819,slobodny
4812,Jana,Muskova,716113/7893,Nitra,495636,vydaty
4813,Radoslav,Fabian,970811/6274,Trencin,275676,slobodny
4814,Petra,Kucerova,685810/1114,Presov,139120,vydaty
4815,Juraj,Cerny,530926/2421,Presov,928577,slobodny
4816,Katerina,Novakova,695602/4599,Martin,749543,vydaty
4817,Richard,Bednar,560902/4062,Snina,267127,slobodny
4818,Katerina,Muskova,666005/5514,Nitra,454318,vydaty
4819,Juraj,Kubik,690423/6221,Kosice,744258,slobodny
4820,Katerina,Cerna,625924/5516,Trencin,357660,vydaty
4821,Peter,Kubik,940226/5978,Senec,184460,slobodny
4822,Lucia,Urbanova,795902/8151,Svidnik,226773,vydaty
4823,Juraj,Marko,880816/8998,Komarno,956212,slobodny
4824,Barbora,Fabianova,985308/9398,Trencin,254430,vydaty
4825,Richard,Varga,771213/4875,Snina,790299,slobodny
4826,Katerina,Vargova,575303/2612,Poprad,810634,vydaty
4827,Marek,Simek,910905/6490,Snina,740603,slobodny
4828,Veronika,Cerna,635204/6480,Senec,731653,vydaty
4829,Jan,Varga,660225/7712,Zilina,597452,slobodny
4830,Sandra,Simekova,996112/9275,Svidnik,422530,vydaty
4831,Juraj,Varga,691124/7573,Kosice,941121,slobodny
4832,Zuzana,Vargova,816007/4972,Nitra,437613,vydaty
4833,Martin,Urban,930513/4018,Zvolen,794655,slobodny
4834,Petra,Horvathova,605502/7179,Trencin,14987,vydaty
4835,Peter,Muska,940106/6393,Humenne,780561,slobodny
4836,Lucia,Cerna,736111/6733,Zvolen,550844,vydaty
4837,Jan,Dvorak,720513/2065,Bratislava,765393,slobodny
4838,Veronika,Dvorakova,525910/5699,Presov,775149,vydaty
4839,Martin,Fabian,510703/4441,Bratislava,504106,slobodny
4840,Ivana,Simekova,595402/8214,Komarno,314632,vydaty
4841,Jan,Cerny,740115/7008,Levice,914959,slobodny
4842,Veronika,Simekova,965128/1525,Svidnik,345034,vydaty
4843,Peter,Rusnak,881024/6337,Presov,297576,slobodny
4844,Barbora,Rusnakova,855904/2892,Kosice,996738,vydaty
4845,Richard,Predajniansky,851011/8959,Svidnik,587947,slobodny
4846,Sandra,Kucerova,635619/6004,Tvrdosin,798905,vydaty
4847,Peter,Urban,681014/6179,Levice,138758,slobodny
4848,Jana,Urbanova,775121/1196,Presov,486957,vydaty
4849,Ondrej,Bednar,740613/8546,Presov,501489,slobodny
4850,Simona,Vesela,596001/7759,Presov,637800,vydaty
4851,Jan,Novak,900302/4004,Tvrdosin,494385,slobodny
4852,Veronika,Fabianova,985521/5196,Bardejov,324195,vydaty
4853,Richard,Vesely,870502/8346,Zvolen,628505,slobodny
4854,Jana,Simekova,955121/4544,Zvolen,376675,vydaty
4855,Juraj,Dvorak,971024/6710,Bardejov,14283,slobodny
4856,Petra,Horvathova,995617/9448,Snina,928233,vydaty
4857,Peter,Kubik,530801/3558,Komarno,188379,slobodny
4858,Jana,Bednarova,656203/2952,Zvolen,984900,vydaty
4859,Radoslav,Rusnak,920128/4879,Bardejov,127221,slobodny
4860,Zuzana,Cerna,575626/9115,Zvolen,262172,vydaty
4861,Richard,Bednar,591221/8780,Svidnik,665975,slobodny
4862,Zuzana,Muskova,736010/6733,Senec,390934,vydaty
4863,Jan,Cerny,700906/1337,Poprad,510947,slobodny
4864,Ivana,Kucerova,845719/6556,Senec,639000,vydaty
4865,Tomas,Marko,770310/5145,Trnava,771203,slobodny
4866,Lucia,Kucerova,795306/9626,Trencin,194493,vydaty
4867,Filip,Dvorak,951017/1168,Poprad,390872,slobodny
4868,Petra,Markova,856222/8805,Nitra,192308,vydaty
4869,Marek,Kucera,830117/7907,Komarno,119687,slobodny
4870,Petra,Vesela,765501/1084,Bardejov,399473,vydaty
4871,Martin,Varga,710922/2705,Poprad,999403,slobodny
4872,Barbora,Muskova,535709/7252,Presov,231196,vydaty
4873,Martin,Varga,690314/4166,Svidnik,826540,slobodny
4874,Jana,Urbanova,785413/4307,Nitra,709342,vydaty
4875,Peter,Horvath,780801/9694,Poprad,707938,slobodny
4876,Zuzana,Rusnakova,816019/2625,Komarno,209134,vydaty
4877,Radoslav,Fabian,920102/2923,Humenne,667133,slobodny
4878,Barbora,Predajnianska,825128/2089,Zilina,700840,vydaty
4879,Peter,Varga,910201/8604,Humenne,746199,slobodny
4880,Simona,Dvorakova,556125/4065,Kosice,826646,vydaty
4881,Martin,Horvath,841225/8035,Trencin,533636,slobodny
4882,Katerina,Predajnianska,865104/3588,Bardejov,868305,vydaty
4883,Juraj,Horvath,870424/2978,Zvolen,828954,slobodny
4884,Sandra,Kubikova,985926/6059,Tvrdosin,99536,vydaty
4885,Filip,Muska,640622/2844,Nitra,166778,slobodny
4886,Zuzana,Horvathova,695711/6322,Trnava,14132,vydaty
4887,Peter,Fabian,940207/5112,Poprad,661614,slobodny
4888,Zuzana,Rusnakova,696104/6151,Levice,214503,vydaty
4889,Ondrej,Predajniansky,861225/9333,Nitra,523091,slobodny
4890,Katerina,Horvathova,865310/8828,Komarno,559184,vydaty
4891,Peter,Marko,800712/1177,Trnava,540267,slobodny
4892,Simona,Predajnianska,966006/3147,Trencin,44588,vydaty
4893,Radoslav,Varga,850405/8675,Trnava,457658,slobodny
4894,Petra,Muskova,695224/6690,Presov,634219,vydaty
4895,Martin,Urban,660228/9761,Poprad,464996,slobodny
4896,Katerina,Simekova,605606/9192,Svidnik,248601,vydaty
4897,Jan,Novak,771210/8306,Presov,65869,slobodny
4898,Ivana,Urbanova,745619/3028,Bratislava,163148,vydaty
4899,Martin,Varga,510614/1944,Komarno,33074,slobodny
4900,Petra,Vargova,615819/6875,Nitra,917635,vydaty
4901,Ondrej,Cerny,870119/5588,Bratislava,711379,slobodny
4902,Jana,Dvorakova,625925/9041,Tvrdosin,312421,vydaty
4903,Jan,Rusnak,840801/3182,Tvrdosin,627571,slobodny
4904,Simona,Predajnianska,885121/4933,Zvolen,500351,vydaty
4905,Ondrej,Varga,701107/6624,Kosice,971798,slobodny
4906,Sandra,Kubikova,755725/7813,Zvolen,635420,vydaty
4907,Juraj,Vesely,841128/4824,Komarno,927621,slobodny
4908,Lucia,Rusnakova,775922/5863,Tvrdosin,492637,vydaty
4909,Peter,Dvorak,630726/8195,Presov,238913,slobodny
4910,Petra,Vesela,575306/2463,Humenne,25575,vydaty
4911,Juraj,Dvorak,581208/2815,Trencin,867664,slobodny
4912,Zuzana,Cerna,585519/4665,Svidnik,648855,vydaty
4913,Jan,Predajniansky,980309/2256,Poprad,221253,slobodny
4914,Ivana,Muskova,825925/2521,Svidnik,239608,vydaty
4915,Richard,Fabian,730904/2418,Senec,755069,slobodny
4916,Katerina,Dvorakova,575805/5184,Trnava,363337,vydaty
4917,Radoslav,Kucera,971018/9097,Presov,216581,slobodny
4918,Zuzana,Bednarova,615126/7454,Trencin,695080,vydaty
4919,Martin,Rusnak,910428/2020,Zvolen,384348,slobodny
4920,Katerina,Muskova,595808/6583,Levice,736774,vydaty
4921,Martin,Fabian,810611/6729,Humenne,49932,slobodny
4922,Barbora,Horvathova,825808/7413,Martin,825271,vydaty
4923,Richard,Simek,781116/5369,Levice,388782,slobodny
4924,Petra,Muskova,585519/2910,Nitra,229162,vydaty
4925,Peter,Kucera,721117/8594,Bratislava,196103,slobodny
4926,Ivana,Cerna,835717/4945,Trnava,810706,vydaty
4927,Peter,Novak,670303/7186,Zvolen,759073,slobodny
4928,Katerina,Rusnakova,795112/6047,Snina,595094,vydaty
4929,Jan,Rusnak,890713/6938,Zilina,542500,slobodny
4930,Veronika,Fabianova,645428/8571,Tvrdosin,47753,vydaty
4931,Juraj,Muska,800513/6787,Levice,416949,slobodny
4932,Zuzana,Markova,635101/4177,Senec,391890,vydaty
4933,Tomas,Urban,890519/7687,Bratislava,914222,slobodny
4934,Lucia,Muskova,985904/2201,Bardejov,931530,vydaty
4935,Tomas,Fabian,510811/6622,Zvolen,203820,slobodny
4936,Zuzana,Fabianova,965828/1812,Bardejov,833824,vydaty
4937,Juraj,Horvath,570804/2990,Svidnik,84406,slobodny
4938,Sandra,Muskova,665902/7368,Presov,94322,vydaty
4939,Marek,Rusnak,970602/1622,Bratislava,72534,slobodny
4940,Jana,Horvathova,715310/9705,Zilina,172753,vydaty
4941,Filip,Kubik,940311/5346,Tvrdosin,717958,slobodny
4942,Veronika,Kubikova,936128/6756,Poprad,669572,vydaty
4943,Peter,Marko,960101/8979,Poprad,993291,slobodny
4944,Veronika,Kubikova,655909/6187,Zilina,688060,vydaty
4945,Jan,Fabian,980827/7664,Zvolen,78066,slobodny
4946,Sandra,Horvathova,625715/2380,Snina,533599,vydaty
4947,Ondrej,Novak,580216/9973,Kosice,515133,slobodny
4948,Petra,Kubikova,875511/5615,Poprad,960298,vydaty
4949,Jan,Dvorak,780105/6837,Trencin,247166,slobodny
4950,Simona,Bednarova,765526/1824,Nitra,412876,vydaty
4951,Tomas,Horvath,830428/9991,Nitra,447251,slobodny
4952,Barbora,Kucerova,715402/3680,Martin,900462,vydaty
4953,Filip,Horvath,710827/6762,Zvolen,793092,slobodny
4954,Sandra,Muskova,975322/4735,Levice,135291,vydaty
4955,Richard,Predajniansky,740319/8962,Svidnik,300344,slobodny
4956,Petra,Vesela,905219/2358,Martin,778729,vydaty
4957,Martin,Muska,840901/5083,Svidnik,641369,slobodny
4958,Sandra,Rusnakova,545203/6024,Komarno,657021,vydaty
4959,Radoslav,Bednar,700625/7772,Zilina,807034,slobodny
4960,Veronika,Cerna,645423/7763,Nitra,442716,vydaty
4961,Ondrej,Bednar,750520/1295,Levice,598586,slobodny
4962,Jana,Kubikova,806005/7232,Kosice,88743,vydaty
4963,Marek,Horvath,530423/2377,Levice,512923,slobodny
4964,Petra,Markova,876224/5631,Tvrdosin,476639,vydaty
4965,Richard,Urban,970203/5536,Bardejov,619056,slobodny
4966,Zuzana,Novakova,886016/8764,Kosice,967845,vydaty
4967,Marek,Kubik,810814/1735,Trnava,313676,slobodny
4968,Simona,Muskova,525607/8873,Humenne,97484,vydaty
4969,Filip,Dvorak,660901/6558,Zvolen,11926,slobodny
4970,Veronika,Vesela,955821/5428,Kosice,956304,vydaty
4971,Ondrej,Novak,631107/2501,Trnava,130507,slobodny
4972,Zuzana,Dvorakova,675520/9627,Kosice,189362,vydaty
4973,Radoslav,Varga,901114/3398,Senec,867539,slobodny
4974,Lucia,Predajnianska,715306/9387,Trencin,883911,vydaty
4975,Richard,Dvorak,810223/1360,Levice,395843,slobodny
4976,Katerina,Kucerova,645724/1205,Senec,488453,vydaty
4977,Peter,Predajniansky,530701/8617,Bratislava,834617,slobodny
4978,Zuzana,Vesela,985914/3304,Zilina,517906,vydaty
4979,Filip,Novak,981221/9613,Levice,361918,slobodny
4980,Sandra,Horvathova,855510/8822,Zilina,926178,vydaty
4981,Jan,Muska,950706/8211,Senec,33681,slobodny
4982,Katerina,Horvathova,596015/4110,Nitra,273090,vydaty
4983,Richard,Rusnak,700322/6783,Poprad,705900,slobodny
4984,Lucia,Urbanova,725302/9534,Zilina,195813,vydaty
4985,Radoslav,Marko,601011/4475,Nitra,804289,slobodny
4986,Katerina,Rusnakova,665706/6812,Bratislava,486858,vydaty
4987,Filip,Urban,750819/5157,Tvrdosin,883475,slobodny
4988,Sandra,Vargova,905511/6945,Humenne,686817,vydaty
4989,Radoslav,Bednar,680425/3925,Poprad,745043,slobodny
4990,Ivana,Dvorakova,755227/7181,Humenne,344515,vydaty
4991,Filip,Kucera,871002/9822,Zilina,772805,slobodny
4992,Lucia,Muskova,705317/1694,Presov,401046,vydaty
4993,Juraj,Rusnak,820524/1727,Zvolen,223031,slobodny
4994,Barbora,Vargova,806118/2253,Kosice,577754,vydaty
4995,Richard,Bednar,990305/2095,Bratislava,852672,slobodny
4996,Barbora,Horvathova,966226/9209,Kosice,636058,vydaty
4997,Richard,Horvath,910815/3338,Zvolen,580975,slobodny
4998,Veronika,Simekova,865922/6347,Bratislava,518133,vydaty
4999,Tomas,Bednar,991023/5073,Poprad,10746,slobodny
5000,Simona,Dvorakova,926026/2099,Bardejov,680794,vydaty
5001,Tomas,Horvath,820326/4080,Nitra,952585,slobodny
5002,Zuzana,Vesela,765409/6174,Nitra,570148,vydaty
5003,Radoslav,Muska,560405/6042,Svidnik,258896,slobodny
5004,Lucia,Predajnianska,825214/9921,Zvolen,486906,vydaty
5005,Filip,Varga,590405/1853,Kosice,307021,slobodny
5006,Lucia,Dvorakova,865225/8945,Levice,294373,vydaty
5007,Marek,Kubik,600427/7596,Komarno,19454,slobodny
5008,Simona,Muskova,805409/7317,Zilina,633616,vydaty
5009,Peter,Fabian,870609/7297,Senec,959978,slobodny
